_id,REPORT_YEAR,DIVISION,CATEGORY,SUBTYPE,COUNT_,COUNT_CLEARED
262,2015,D14,Crimes Against Property,Theft Under $5000,1,0
263,2018,D11,Crimes Against Property,Fraud,1,0
264,2022,D33,Crimes Against the Person,Assault,1,0
265,2021,D55,Crimes Against Property,Break & Enter-Apartment,7,0
266,2015,D22,Crimes Against Property,Other,1,0
267,2017,D31,Crimes Against Property,Break & Enter-House,12,0
268,2014,D32,Crimes Against Property,Theft Over $5000,4,0
269,2020,D55,Crimes Against the Person,Robbery-Financial,3,0
270,2019,D11,Crimes Against Property,Break & Enter-Apartment,5,0
271,2020,D12,Crimes Against Property,Break & Enter-Other,2,0
272,2016,D14,Crimes Against Property,Break & Enter-Other,3,0
273,2016,D32,Crimes Against Property,Break & Enter-Commercial,5,0
274,2018,D33,Crimes Against Property,Theft Under $5000,1,0
275,2015,D53,Crimes Against Property,Theft Over $5000,5,0
276,2017,D11,Crimes Against the Person,Robbery-Other,6,0
277,2015,D55,Crimes Against Property,Break & Enter-Other,2,0
278,2020,D22,Crimes Against Property,Break & Enter-Apartment,2,0
279,2016,D14,Crimes Against Property,Fraud,1,0
280,2017,D51,Crimes Against Property,Theft Under $5000,1,0
281,2015,D22,Crimes Against Property,Theft Over $5000,4,0
282,2017,D52,Crimes Against Property,Theft Under $5000,1,0
283,2015,D55,Crimes Against Property,Break & Enter-Other,2,0
284,2014,D14,Crimes Against the Person,Sexual Violation,1,0
285,2019,D13,Crimes Against the Person,Attempt Murder,2,0
286,2014,D22,Crimes Against Property,Break & Enter-Other,1,0
287,2021,D33,Crimes Against Property,Break & Enter-Apartment,3,0
288,2014,D52,Crimes Against Property,Other,1,0
289,2016,D53,Crimes Against Property,Fraud,1,0
290,2021,D33,Crimes Against the Person,Assault,1,0
291,2015,D52,Crimes Against Property,Theft Over $5000,1,0
292,2014,D41,Crimes Against Property,Break & Enter-Other,1,0
293,2021,D53,Crimes Against the Person,Sexual Violation,1,0
294,2018,D51,Crimes Against Property,Break & Enter-House,2,0
295,2016,NSA,Crimes Against Property,Theft Under $5000,1,0
296,2015,D55,Crimes Against Property,Auto Theft,1,0
297,2021,D32,Crimes Against Property,Break & Enter-House,15,0
298,2018,D32,Crimes Against Property,Break & Enter-Apartment,15,0
299,2021,D12,Crimes Against the Person,Other,4,0
300,2017,D53,Crimes Against Property,Break & Enter-Other,1,0
301,2018,D51,Crimes Against Property,Theft Over $5000,4,0
302,2019,D13,Crimes Against Property,Break & Enter-Apartment,5,0
303,2021,D43,Crimes Against Property,Break & Enter-House,1,0
304,2014,D13,Crimes Against Property,Theft Over $5000,4,0
305,2017,D55,Crimes Against Property,Fraud,32,0
306,2020,D33,Crimes Against Property,Theft Under $5000,2,0
307,2018,D13,Crimes Against Property,Fraud,1,0
308,2018,D53,Crimes Against Property,Break & Enter-Other,3,0
309,2015,D41,Other Criminal Code Violations,Other,1,0
310,2022,D42,Crimes Against Property,Break & Enter-Commercial,4,0
311,2016,D31,Crimes Against the Person,Sexual Violation,1,0
312,2015,D41,Crimes Against Property,Fraud,1,0
313,2018,D53,Crimes Against Property,Break & Enter-House,10,0
314,2023,D52,Crimes Against Property,Other,7,0
315,2014,D33,Crimes Against Property,Other,2,0
316,2023,D13,Crimes Against Property,Auto Theft,10,0
317,2018,D13,Crimes Against Property,Theft Over $5000,1,0
318,2015,D23,Crimes Against the Person,Robbery-Financial,1,0
319,2022,D33,Crimes Against Property,Break & Enter-House,1,0
320,2019,D13,Crimes Against Property,Theft Under $5000,1,0
321,2023,D53,Crimes Against Property,Break & Enter-Other,1,0
